title,amount,severity,project,description
423,245,3,11, <br>1 duplicated blocks of code.<br>5 duplicated blocks of code.<br>13 duplicated blocks of code.<br>19 duplicated blocks of code.<br>11 duplicated blocks of code.<br>2 duplicated blocks of code.<br>6 duplicated blocks of code.<br>3 duplicated blocks of code.<br>7 duplicated blocks of code.<br>14 duplicated blocks of code.<br>20 duplicated blocks of code.<br>10 duplicated blocks of code.<br>12 duplicated blocks of code.<br>22 duplicated blocks of code.<br>21 duplicated blocks of code.<br>17 duplicated blocks of code.<br>8 duplicated blocks of code.<br>9 duplicated blocks of code.<br>4 duplicated blocks of code.
626,1,3,11, <br>Remove this empty class- write its code or make it an "interface".
628,1,5,11, <br>This class overrides "equals()" and should therefore also override "hashCode()".
631,2,4,11, <br>Either override Object.equals(Object)- or totally rename the method to prevent any confusion.
634,542,2,11, <br>Reorder the modifiers to comply with the Java Language Specification.
641,406,3,11, <br>The type of the "styles" object should be an interface such as "Map" rather than the implementation "HashMap".<br>The type of the "data" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "points" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "genericFontFamilies" object should be an interface such as "Map" rather than the implementation "HashMap".<br>The type of the "selectedClasses" object should be an interface such as "Set" rather than the implementation "HashSet".<br>The type of the "originalToDuplicateMap" object should be an interface such as "Map" rather than the implementation "HashMap".<br>The type of the "inputFormats" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "viewActions" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "otherFamilySet" object should be an interface such as "Set" rather than the implementation "HashSet".<br>The type of the "duplicates" object should be an interface such as "List" rather than the implementation "ArrayList".<br>The type of the "figures" object should be an interface such as "Set" rather than the implementation "HashSet".<br>The return type of this method should be an interface such as "List" rather than the implementation "ArrayList".<br>The type of the "fileFilterOutputFormatMap" object should be an interface such as "Map" rather than the implementation "HashMap".<br>The type of the "outputFormats" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "paletteActions" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "nameToEnumClassMap" object should be an interface such as "Map" rather than the implementation "HashMap".<br>The type of the "compatibleHandles" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "toolBarActions" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "selectedFigures" object should be an interface such as "List" rather than the implementation "ArrayList".<br>The type of the "idobjects" object should be an interface such as "Map" rather than the implementation "HashMap".<br>The type of the "goodFonts" object should be an interface such as "List" rather than the implementation "ArrayList".<br>The type of the "enumClassToNameMap" object should be an interface such as "Map" rather than the implementation "HashMap".<br>The type of the "connectors" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "penPositions" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "fallbackKeys" object should be an interface such as "List" rather than the implementation "ArrayList".<br>The type of the "recentFiles" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "otherFamilies" object should be an interface such as "List" rather than the implementation "ArrayList".<br>The type of the "exportedFigures" object should be an interface such as "Set" rather than the implementation "HashSet".<br>The type of the "acceleratorKeys" object should be an interface such as "Set" rather than the implementation "HashSet".<br>The type of the "classToNameMap" object should be an interface such as "Map" rather than the implementation "HashMap".<br>The type of the "editUndoData" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "buttonGroups" object should be an interface such as "Map" rather than the implementation "HashMap".<br>The type of the "entities" object should be an interface such as "Map" rather than the implementation "Hashtable".<br>The type of the "toDraw" object should be an interface such as "List" rather than the implementation "ArrayList".<br>The type of the "attributes" object should be an interface such as "Map" rather than the implementation "HashMap".<br>The type of the "rolloverTable" object should be an interface such as "Map" rather than the implementation "Hashtable".<br>The type of the "paths" object should be an interface such as "List" rather than the implementation "ArrayList".<br>The type of the "windows" object should be an interface such as "Map" rather than the implementation "HashMap".<br>The type of the "examples" object should be an interface such as "List" rather than the implementation "ArrayList".<br>The type of the "as" object should be an interface such as "Set" rather than the implementation "HashSet".<br>The type of the "cornerIndices" object should be an interface such as "List" rather than the implementation "ArrayList".<br>The type of the "digitizedPoints" object should be an interface such as "List" rather than the implementation "ArrayList".<br>The type of the "nameToPrototypeMap" object should be an interface such as "Map" rather than the implementation "HashMap".<br>The type of the "paths" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "temp" object should be an interface such as "Map" rather than the implementation "HashMap".<br>The type of the "toolBars" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "a" object should be an interface such as "Map" rather than the implementation "HashMap".<br>The type of the "palettes" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "ungroupedFigures" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "attributeDefaultValues" object should be an interface such as "Map" rather than the implementation "Hashtable".<br>The type of the "selectionHandles" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "popupActions" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "selectedFigures" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "map" object should be an interface such as "Map" rather than the implementation "LinkedHashMap".<br>The type of the "openRecentActions" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "figureActions" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "ll" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "borderTable" object should be an interface such as "Map" rather than the implementation "HashMap".<br>The type of the "textAttributes" object should be an interface such as "Map" rather than the implementation "HashMap".<br>The type of the "identifiedElements" object should be an interface such as "Map" rather than the implementation "HashMap".<br>The type of the "sorted" object should be an interface such as "List" rather than the implementation "ArrayList".<br>The type of the "actions" object should be an interface such as "List" rather than the implementation "ArrayList".<br>The type of the "a2" object should be an interface such as "Map" rather than the implementation "HashMap".<br>The type of the "forbiddenAttributes" object should be an interface such as "Set" rather than the implementation "HashSet".<br>The type of the "s" object should be an interface such as "Set" rather than the implementation "HashSet".<br>The type of the "fileFilterInputFormatMap" object should be an interface such as "Map" rather than the implementation "HashMap".<br>The type of the "result" object should be an interface such as "List" rather than the implementation "ArrayList".<br>The type of the "hoverHandles" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "transferables" object should be an interface such as "Map" rather than the implementation "HashMap".<br>The type of the "listeners" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "colors" object should be an interface such as "List" rather than the implementation "ArrayList".<br>The type of the "commonStyles" object should be an interface such as "Map" rather than the implementation "HashMap".<br>The type of the "flavors" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "sliders" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "families" object should be an interface such as "List" rather than the implementation "ArrayList".<br>The type of the "transferFigures" object should be an interface such as "Set" rather than the implementation "HashSet".<br>The type of the "handles" object should be an interface such as "List" rather than the implementation "ArrayList".<br>The type of the "figures" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "unsorted" object should be an interface such as "Set" rather than the implementation "HashSet".<br>The type of the "d" object should be an interface such as "List" rather than the implementation "ArrayList".<br>The type of the "systemNodes" object should be an interface such as "Map" rather than the implementation "HashMap".<br>The type of the "c" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "strokeLinejoinMap" object should be an interface such as "Map" rather than the implementation "HashMap".<br>The return type of this method should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "deletionEvents" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "handles" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "handleAttributes" object should be an interface such as "Map" rather than the implementation "HashMap".<br>The type of the "layouts" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "strokeLinecapMap" object should be an interface such as "Map" rather than the implementation "HashMap".<br>The type of the "children" object should be an interface such as "List" rather than the implementation "ArrayList".<br>The type of the "defaultAttributes" object should be an interface such as "Map" rather than the implementation "HashMap".<br>The type of the "extensions" object should be an interface such as "Set" rather than the implementation "HashSet".<br>The type of the "gradientToIDMap" object should be an interface such as "Map" rather than the implementation "HashMap".<br>The type of the "attributes" object should be an interface such as "List" rather than the implementation "ArrayList".<br>The type of the "transformedFigures" object should be an interface such as "Set" rather than the implementation "HashSet".<br>The type of the "panels" object should be an interface such as "List" rather than the implementation "ArrayList".<br>The type of the "elementObjects" object should be an interface such as "Map" rather than the implementation "HashMap".<br>The type of the "values" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "draggedFigures" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "segments" object should be an interface such as "List" rather than the implementation "ArrayList".<br>The type of the "enumToValueMap" object should be an interface such as "Map" rather than the implementation "HashMap".<br>The type of the "a" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "secondaryHandles" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "importedFigures" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "nameMap" object should be an interface such as "Set" rather than the implementation "HashSet".<br>The type of the "existingFigures" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "oldToNew" object should be an interface such as "Map" rather than the implementation "HashMap".<br>The type of the "familyMap" object should be an interface such as "Map" rather than the implementation "HashMap".<br>The type of the "ignoredFigures" object should be an interface such as "Set" rather than the implementation "HashSet".<br>The type of the "models" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "attr" object should be an interface such as "Map" rather than the implementation "HashMap".<br>The type of the "owners" object should be an interface such as "Set" rather than the implementation "HashSet".<br>The type of the "attributeRestoreData" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "intersection" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "coll" object should be an interface such as "List" rather than the implementation "ArrayList".<br>The type of the "dependencies" object should be an interface such as "Set" rather than the implementation "HashSet".<br>The type of the "actions" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "objectids" object should be an interface such as "Map" rather than the implementation "HashMap".<br>The type of the "views" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "restoreData" object should be an interface such as "List" rather than the implementation "ArrayList".<br>The type of the "disposables" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "palettes" object should be an interface such as "Set" rather than the implementation "HashSet".<br>The type of the "outside" object should be an interface such as "Map" rather than the implementation "HashMap".<br>The type of the "sortme" object should be an interface such as "List" rather than the implementation "ArrayList".<br>The type of the "list" object should be an interface such as "List" rather than the implementation "ArrayList".<br>The type of the "views" object should be an interface such as "Set" rather than the implementation "HashSet".<br>The type of the "result" object should be an interface such as "Set" rather than the implementation "HashSet".<br>The type of the "ungroupedPaths" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "am" object should be an interface such as "Map" rather than the implementation "HashMap".<br>The type of the "m" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "prototypes" object should be an interface such as "Map" rather than the implementation "HashMap".<br>The type of the "m" object should be an interface such as "Map" rather than the implementation "HashMap".<br>The type of the "stops" object should be an interface such as "List" rather than the implementation "ArrayList".<br>The type of the "propertyNameModifiers" object should be an interface such as "Map" rather than the implementation "HashMap".<br>The type of the "uris" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "masterStyles" object should be an interface such as "Map" rather than the implementation "HashMap".<br>The type of the "automaticStyles" object should be an interface such as "Map" rather than the implementation "HashMap".<br>The type of the "userNodes" object should be an interface such as "Map" rather than the implementation "HashMap".<br>The type of the "rules" object should be an interface such as "List" rather than the implementation "ArrayList".<br>The type of the "contained" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "supportedFeatures" object should be an interface such as "Set" rather than the implementation "HashSet".<br>The type of the "objects" object should be an interface such as "Map" rather than the implementation "HashMap".<br>The type of the "result" object should be an interface such as "List" rather than the implementation "LinkedList".<br>The type of the "actions" object should be an interface such as "Map" rather than the implementation "HashMap".<br>The type of the "seg" object should be an interface such as "List" rather than the implementation "ArrayList".<br>The type of the "map" object should be an interface such as "Map" rather than the implementation "HashMap".<br>The type of the "valueToEnumMap" object should be an interface such as "Map" rather than the implementation "HashMap".<br>The type of the "list" object should be an interface such as "List" rather than the implementation "LinkedList".
647,12,4,11, <br>Do not override the Object.finalize() method.
648,3,3,11, <br>Refactor the code in order to not assign to this loop counter from within the loop body.
649,133,3,11, <br>Introduce a new variable instead of reusing the parameter "y".<br>Introduce a new variable instead of reusing the parameter "defaultNamespace".<br>Introduce a new variable instead of reusing the parameter "node".<br>Introduce a new variable instead of reusing the parameter "low".<br>Introduce a new variable instead of reusing the parameter "split".<br>Introduce a new variable instead of reusing the parameter "v".<br>Introduce a new variable instead of reusing the parameter "index".<br>Introduce a new variable instead of reusing the parameter "presentationName".<br>Introduce a new variable instead of reusing the parameter "rx".<br>Introduce a new variable instead of reusing the parameter "verticalPos".<br>Introduce a new variable instead of reusing the parameter "image".<br>Introduce a new variable instead of reusing the parameter "c".<br>Introduce a new variable instead of reusing the parameter "x".<br>Introduce a new variable instead of reusing the parameter "size".<br>Introduce a new variable instead of reusing the parameter "newInsets".<br>Introduce a new variable instead of reusing the parameter "entityResolver".<br>Introduce a new variable instead of reusing the parameter "compArray".<br>Introduce a new variable instead of reusing the parameter "tHat2".<br>Introduce a new variable instead of reusing the parameter "systemID".<br>Introduce a new variable instead of reusing the parameter "join".<br>Introduce a new variable instead of reusing the parameter "p".<br>Introduce a new variable instead of reusing the parameter "name".<br>Introduce a new variable instead of reusing the parameter "hi".<br>Introduce a new variable instead of reusing the parameter "str".<br>Introduce a new variable instead of reusing the parameter "value".<br>Introduce a new variable instead of reusing the parameter "parent".<br>Introduce a new variable instead of reusing the parameter "off".<br>Introduce a new variable instead of reusing the parameter "ry".<br>Introduce a new variable instead of reusing the parameter "target".<br>Introduce a new variable instead of reusing the parameter "isSelected".<br>Introduce a new variable instead of reusing the parameter "angle".<br>Introduce a new variable instead of reusing the parameter "entity".<br>Introduce a new variable instead of reusing the parameter "view".<br>Introduce a new variable instead of reusing the parameter "tHat1".<br>Introduce a new variable instead of reusing the parameter "width".<br>Introduce a new variable instead of reusing the parameter "text".<br>Introduce a new variable instead of reusing the parameter "defaultAttributes".<br>Introduce a new variable instead of reusing the parameter "find".
653,1,3,11, <br>Rename this method to prevent any misunderstanding or make it a constructor.
